pokemon,status_effect,result,current_iter,max_iter
snorlax,BURN,False,7,30
snorlax,BURN,False,8,30
snorlax,BURN,False,9,30
snorlax,BURN,False,10,30
snorlax,BURN,False,11,30
snorlax,BURN,False,12,30
snorlax,BURN,False,13,30
snorlax,BURN,False,14,30
snorlax,BURN,False,15,30
snorlax,BURN,False,16,30
snorlax,BURN,False,17,30
snorlax,BURN,True,18,30
snorlax,BURN,False,19,30
snorlax,BURN,False,20,30
snorlax,BURN,False,21,30
snorlax,BURN,False,22,30
snorlax,BURN,False,23,30
snorlax,BURN,False,24,30
snorlax,BURN,False,25,30
snorlax,BURN,False,26,30
snorlax,BURN,False,27,30
snorlax,BURN,False,28,30
snorlax,BURN,False,29,30
snorlax,BURN,False,30,30
snorlax,POISON,False,1,30
snorlax,POISON,False,2,30
snorlax,POISON,False,3,30
snorlax,POISON,False,4,30
snorlax,POISON,False,5,30
snorlax,POISON,False,6,30
snorlax,POISON,False,7,30
snorlax,POISON,False,8,30
snorlax,POISON,False,9,30
snorlax,POISON,False,10,30
snorlax,POISON,False,11,30
snorlax,POISON,False,12,30
snorlax,POISON,False,13,30
snorlax,POISON,False,14,30
snorlax,POISON,False,15,30
snorlax,POISON,True,16,30
snorlax,POISON,False,17,30
snorlax,POISON,False,18,30
snorlax,POISON,False,19,30
snorlax,POISON,False,20,30
snorlax,POISON,False,21,30
snorlax,POISON,False,22,30
snorlax,POISON,False,23,30
snorlax,POISON,False,24,30
snorlax,POISON,False,25,30
snorlax,POISON,False,26,30
snorlax,POISON,False,27,30
snorlax,POISON,False,28,30
snorlax,POISON,False,29,30
snorlax,POISON,False,30,30
onix,NONE,False,1,30
onix,NONE,False,2,30
onix,NONE,False,3,30
onix,NONE,False,4,30
onix,NONE,False,5,30
onix,NONE,False,6,30
onix,NONE,False,7,30
onix,NONE,False,8,30
onix,NONE,False,9,30
onix,NONE,False,10,30
onix,NONE,False,11,30
onix,NONE,False,12,30
onix,NONE,False,13,30
onix,NONE,False,14,30
onix,NONE,False,15,30
onix,NONE,False,16,30
onix,NONE,False,17,30
onix,NONE,False,18,30
onix,NONE,False,19,30
onix,NONE,False,20,30
onix,NONE,False,21,30
onix,NONE,False,22,30
onix,NONE,False,23,30
onix,NONE,False,24,30
onix,NONE,False,25,30
onix,NONE,False,26,30
onix,NONE,False,27,30
onix,NONE,False,28,30
onix,NONE,False,29,30
onix,NONE,False,30,30
onix,FREEZE,False,1,30
onix,FREEZE,False,2,30
onix,FREEZE,False,3,30
onix,FREEZE,False,4,30
onix,FREEZE,False,5,30
onix,FREEZE,False,6,30
onix,FREEZE,False,7,30
onix,FREEZE,False,8,30
onix,FREEZE,False,9,30
onix,FREEZE,True,10,30
onix,FREEZE,True,11,30
onix,FREEZE,False,12,30
onix,FREEZE,False,13,30
onix,FREEZE,False,14,30
onix,FREEZE,False,15,30
onix,FREEZE,False,16,30
onix,FREEZE,False,17,30
onix,FREEZE,False,18,30
onix,FREEZE,False,19,30
onix,FREEZE,True,20,30
onix,FREEZE,False,21,30
onix,FREEZE,False,22,30
onix,FREEZE,True,23,30
onix,FREEZE,False,24,30
onix,FREEZE,False,25,30
onix,FREEZE,False,26,30
onix,FREEZE,False,27,30
onix,FREEZE,False,28,30
onix,FREEZE,False,29,30
onix,FREEZE,False,30,30
onix,SLEEP,False,1,30
onix,SLEEP,False,2,30
onix,SLEEP,False,3,30
onix,SLEEP,True,4,30
onix,SLEEP,False,5,30
onix,SLEEP,False,6,30
onix,SLEEP,False,7,30
onix,SLEEP,False,8,30
onix,SLEEP,False,9,30
onix,SLEEP,False,10,30
onix,SLEEP,False,11,30
onix,SLEEP,False,12,30
onix,SLEEP,False,13,30
onix,SLEEP,False,14,30
onix,SLEEP,False,15,30
onix,SLEEP,False,16,30
onix,SLEEP,False,17,30
onix,SLEEP,False,18,30
onix,SLEEP,False,19,30
onix,SLEEP,False,20,30
onix,SLEEP,False,21,30
onix,SLEEP,True,22,30
onix,SLEEP,False,23,30
onix,SLEEP,True,24,30
onix,SLEEP,False,25,30
onix,SLEEP,False,26,30
onix,SLEEP,True,27,30
onix,SLEEP,False,28,30
onix,SLEEP,False,29,30
onix,SLEEP,False,30,30
onix,PARALYSIS,False,1,30
onix,PARALYSIS,False,2,30
onix,PARALYSIS,False,3,30
onix,PARALYSIS,False,4,30
onix,PARALYSIS,False,5,30
onix,PARALYSIS,False,6,30
onix,PARALYSIS,False,7,30
onix,PARALYSIS,False,8,30
onix,PARALYSIS,False,9,30
onix,PARALYSIS,False,10,30
onix,PARALYSIS,False,11,30
onix,PARALYSIS,False,12,30
onix,PARALYSIS,False,13,30
onix,PARALYSIS,False,14,30
onix,PARALYSIS,False,15,30
onix,PARALYSIS,False,16,30
onix,PARALYSIS,False,17,30
onix,PARALYSIS,False,18,30
onix,PARALYSIS,False,19,30
onix,PARALYSIS,False,20,30
onix,PARALYSIS,False,21,30
onix,PARALYSIS,False,22,30
onix,PARALYSIS,False,23,30
onix,PARALYSIS,False,24,30
onix,PARALYSIS,False,25,30
onix,PARALYSIS,False,26,30
onix,PARALYSIS,False,27,30
onix,PARALYSIS,False,28,30
onix,PARALYSIS,False,29,30
onix,PARALYSIS,False,30,30
onix,BURN,False,1,30
onix,BURN,False,2,30
onix,BURN,False,3,30
onix,BURN,False,4,30
onix,BURN,False,5,30
onix,BURN,False,6,30
onix,BURN,False,7,30
onix,BURN,False,8,30
onix,BURN,False,9,30
onix,BURN,False,10,30
onix,BURN,False,11,30
onix,BURN,False,12,30
onix,BURN,False,13,30
onix,BURN,False,14,30
onix,BURN,False,15,30
onix,BURN,False,16,30
onix,BURN,False,17,30
onix,BURN,True,18,30
onix,BURN,False,19,30
onix,BURN,False,20,30
onix,BURN,False,21,30
onix,BURN,False,22,30
onix,BURN,False,23,30
onix,BURN,False,24,30
onix,BURN,False,25,30
onix,BURN,False,26,30
onix,BURN,False,27,30
onix,BURN,False,28,30
onix,BURN,False,29,30
onix,BURN,False,30,30
onix,POISON,False,1,30
onix,POISON,False,2,30
onix,POISON,False,3,30
onix,POISON,False,4,30
onix,POISON,False,5,30
onix,POISON,False,6,30
onix,POISON,False,7,30
onix,POISON,False,8,30
onix,POISON,True,9,30
onix,POISON,False,10,30
onix,POISON,False,11,30
onix,POISON,False,12,30
onix,POISON,False,13,30
onix,POISON,False,14,30
onix,POISON,False,15,30
onix,POISON,False,16,30
onix,POISON,False,17,30
onix,POISON,False,18,30
onix,POISON,False,19,30
onix,POISON,False,20,30
onix,POISON,False,21,30
onix,POISON,True,22,30
onix,POISON,False,23,30
onix,POISON,False,24,30
onix,POISON,False,25,30
onix,POISON,False,26,30
onix,POISON,False,27,30
onix,POISON,False,28,30
onix,POISON,False,29,30
onix,POISON,False,30,30
mewtwo,NONE,False,1,30
mewtwo,NONE,False,2,30
mewtwo,NONE,False,3,30
mewtwo,NONE,False,4,30
mewtwo,NONE,False,5,30
mewtwo,NONE,False,6,30
mewtwo,NONE,False,7,30
mewtwo,NONE,False,8,30
mewtwo,NONE,False,9,30
mewtwo,NONE,False,10,30
mewtwo,NONE,False,11,30
mewtwo,NONE,False,12,30
mewtwo,NONE,False,13,30
mewtwo,NONE,False,14,30
mewtwo,NONE,False,15,30
mewtwo,NONE,False,16,30
mewtwo,NONE,False,17,30
mewtwo,NONE,False,18,30
mewtwo,NONE,False,19,30
mewtwo,NONE,False,20,30
mewtwo,NONE,False,21,30
mewtwo,NONE,False,22,30
mewtwo,NONE,False,23,30
mewtwo,NONE,False,24,30
mewtwo,NONE,False,25,30
mewtwo,NONE,False,26,30
mewtwo,NONE,False,27,30
mewtwo,NONE,False,28,30
mewtwo,NONE,False,29,30
mewtwo,NONE,False,30,30
